series,wmax,Mo,a,b,s,stdfit
2865,2862,21.06859088,0.2774572582,0.0230957088,0.02304672421,15.4995226
1666,1666,5.661263949,0.4645511178,0.03521955379,0.03487958226,8.372570643
951,951,40.59750973,0.000005515956807,0.074401201,0.01627924114,8.341234984
550,550,1.411405416,0.6196659435,0.1219690197,0.03247502794,4.161411307
488,488,0.000009882516074,2.972102032,0.0000862698811,94.3102269,4.957651018
462,462,0.3608904032,0.8252579135,0.1400877699,0.02134184334,4.659664594
124,124,0.3771554229,1.373804502,0.3847658597,0.1214332694,1.275885063
100,100,0.3602002208,0.947416965,0.620856588,0.0478772707,1.667465164
80,80,0.09661006914,1.388468279,0.7591034954,0.05156441381,1.320831329
